"序号","题目ID","模块","原题型","问卷星建议题型","必填","题干","选项/取值","校验/范围","显示逻辑","互斥选项","风险提示","权重/备注"
"1","Q0_NAME","基础信息","text","填空题","是","请问怎么称呼您？（姓名或昵称都可以，用于您的专属报告）","","最多 20 字","","","",""
"2","Q1","基础信息","number","填空题","是","您的出生年份是？","","数字；1960-1995 年","","","",""
"3","Q2","基础信息","single","单选题","是","您目前的月经情况是？（请选择最接近您当前状态的一项。）","A=基本上还算规律，每个月都会来 | value:A
B=有时会提前或推迟一周以上，但每个月还是会来 | value:B
C=经常 2～3 个月才来一次，或者已经开始“跳月” | value:C
D=已经超过半年没来了 | value:D
E=已经超过一年没来了（确认绝经） | value:E
F=我正在使用曼月乐（左炔诺孕酮宫内节育系统），月经很少或已经没有了 | value:F
G=我做过子宫切除手术，但保留了卵巢 | value:G
H=我做过子宫和双侧卵巢切除手术 | value:H
I=因为其他原因没有月经（如：正在使用激素类避孕药、避孕针、皮下埋植等） | value:I","","","","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"4","Q3","基础信息","number","填空题","是","您的身高是？（厘米）","","数字；130-195 cm","","","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"5","Q4","基础信息","number","填空题","是","您的体重是？（公斤）","","数字；30-150 kg","","","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"6","Q5","基础信息","multi","多选题","是","您是否有过以下手术或医疗经历？（可多选）","A=一侧卵巢切除（保留了另一侧） | value:unilateral_oophorectomy
B=甲状腺手术（全切或部分切除） | value:thyroid_surgery
C=正在或曾经接受过化疗 / 放疗 | value:chemo_radiotherapy
D=被诊断过多囊卵巢综合征（PCOS） | value:pcos
E=被诊断过甲状腺功能异常（甲亢、甲减、桥本甲状腺炎等） | value:thyroid_disorder
F=被诊断过早发性卵巢功能不全（40岁前卵巢功能衰退，曾被称为“卵巢早衰”） | value:poi
G=以上都没有 | value:none","","","以上都没有","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"7","Q6","基础信息","multi","多选题","是","您目前是否在使用以下药物或产品？（可多选）","A=避孕药 | value:contraceptive
B=激素替代治疗（HRT） | value:hrt
C=甲状腺药物（如优甲乐） | value:thyroid_med
D=中药/保健品调理围绝经期 | value:tcm
E=以上都没有 | value:none","","","以上都没有","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"8","Q7","基础信息","single","单选题","是","您的直系女性亲属（妈妈、姐妹）大约几岁绝经的？","A=45岁之前 | value:A
B=45～50岁 | value:B
C=50～55岁 | value:C
D=55岁之后 | value:D
E=不清楚 | value:E","","","","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"9","Q8","月经变化","scale","单选题","是","和一两年前比，您的月经量有什么变化？","A=没什么变化 | value:0
B=比以前明显变少了，天数或量都减少 | value:less
C=有时多有时少，不太稳定 | value:1
D=明显变多了，有时会涌出来或有大血块 | value:2
E=多到需要频繁换卫生巾（白天不到2小时就要换），已经影响正常生活 | value:3","","answers.Q2 === 'E'","","red｜妇科｜月经量过大可能导致贫血，建议尽快就医检查｜条件：value === 3","{""A"":2,""B"":4,""C"":2,""D"":0,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"10","Q9","月经变化","multi","多选题","是","您来月经前一周左右，是否有以下感受？（可多选）","A=乳房胀痛，碰一下都疼 | value:breast | score:2
B=脸和手脚容易肿，戒指变紧、鞋变挤 | value:edema | score:2
C=情绪特别容易波动，莫名想哭或发脾气 | value:mood | score:2
D=头疼，尤其是偏头痛 | value:headache | score:2
E=以上都没有 | value:none | score:0","","answers.Q2 === 'E'","以上都没有","","{""A"":3,""B"":4,""C"":2,""D"":0,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"11","Q10","月经变化","single","单选题","是","您的月经周期（从一次来到下一次来的天数）有什么变化？（不需要记得精确天数，选最接近您感受的一项。）","A=比较稳定，大致在 25～35 天之间 | value:A
B=偶尔会比平时提前或推迟一周左右，但大部分时候还算规律 | value:B
C=明显变短了，经常不到 25 天就来（来得比以前频繁） | value:C
D=明显变长了，经常要 5～6 周甚至更久才来一次 | value:D
E=完全没规律，有时很密有时好久不来，无法预测 | value:E","","!['A', 'B', 'C'].includes(answers.Q2)","","","""special_Q10"""
"12","Q11","月经变化","scale","单选题","是","您是否在非月经期间出现阴道出血或褐色分泌物？","A=没有 | value:0
B=偶尔有一点点 | value:1
C=时常有 | value:2
D=经常有，或者绝经后又出血了 | value:3","","","","red｜妇科｜非经期出血或绝经后出血需要尽快排除子宫内膜病变｜条件：value === 3","{""A"":2,""B"":3,""C"":2,""D"":1,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"13","Q12","潮热与出汗","scale","单选题","是","您是否会突然觉得一阵热从胸口或脸上涌上来，脸发红、出汗？","A=没有过 | value:0
B=偶尔有（一周不到1次） | value:1
C=经常有（几乎每天都有，一天几次） | value:2
D=非常频繁（一天超过7次，严重影响生活） | value:3","","","","","{""A"":0,""B"":0,""C"":3,""D"":4,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"14","Q13","潮热与出汗","scale","单选题","是","您晚上睡觉时是否会被热醒，或者醒来发现衣服、床单湿了？","A=没有 | value:0
B=偶尔（一个月几次） | value:1
C=经常（每周2～3次） | value:2
D=几乎每晚都有，需要换衣服或床单 | value:3","","","","","{""A"":0,""B"":0,""C"":3,""D"":4,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"15","Q14","潮热与出汗","scale","单选题","是","您的心脏是否会没有原因地突然“怦怦跳”或感觉心慌？","A=没有 | value:0
B=偶尔 | value:1
C=一周好几次 | value:2
D=几乎每天都有 | value:3","","","","orange｜心内科/内分泌科｜频繁心悸建议排除心脏和甲状腺问题｜条件：value === 3","{""A"":1,""B"":1,""C"":3,""D"":3,""thyroid"":2,""insulin"":0,""adrenal"":1}"
"16","Q15","情绪与睡眠","scale","单选题","是","最近您是否经常觉得做什么事都没兴趣，或者觉得心情很低落？","A=几乎没有 | value:0
B=有几天这样 | value:1
C=超过一半的天数都这样 | value:2
D=几乎每天都这样 | value:3","","","","","{""A"":2,""B"":1,""C"":2,""D"":3,""thyroid"":2,""insulin"":0,""adrenal"":2}"
"17","Q16","情绪与睡眠","scale","单选题","是","最近您是否经常感到紧张、焦虑或坐立不安？","A=几乎没有 | value:0
B=有几天这样 | value:1
C=超过一半的天数都这样 | value:2
D=几乎每天都这样 | value:3","","","","orange｜心理科/精神科｜您的情绪状态需要关注，建议进行专业心理评估｜条件：answers.Q15 + answers.Q16 >= 4","{""A"":3,""B"":2,""C"":2,""D"":2,""thyroid"":2,""insulin"":0,""adrenal"":3}"
"18","Q17","情绪与睡眠","scale","单选题","是","您以前能扛住的压力，现在是否觉得扛不住了？比如同样的事，现在更容易崩溃或烦躁？","A=没有这种感觉 | value:0
B=有一点 | value:1
C=比较明显 | value:2
D=非常明显，感觉自己完全变了一个人 | value:3","","","","","{""A"":3,""B"":1,""C"":2,""D"":2,""thyroid"":0,""insulin"":0,""adrenal"":3}"
"19","Q18","情绪与睡眠","scale","单选题","是","您的睡眠怎么样？","A=睡得还不错 | value:0
B=有时不容易入睡，或半夜会醒 | value:1
C=经常要很久才能睡着，或者半夜醒了就很难再睡 | value:2
D=严重失眠，基本靠安眠药才能睡 | value:3","","","","","{""A"":2,""B"":1,""C"":2,""D"":3,""thyroid"":2,""insulin"":0,""adrenal"":2}"
"20","Q19","情绪与睡眠","single","单选题","是","如果您半夜会醒，主要是因为什么？","A=被热醒或出汗醒的 | value:A
B=心里发慌或想事情停不下来 | value:B
C=没什么特别原因就醒了，醒了就睡不着 | value:C
D=睡眠质量还好，不太会半夜醒 | value:D","","","","","""special_Q19"""
